Name,Age,Team_2122,GP_2122,W_2122,SO_2122,SV_2122,SV%_2122,Yrs,Team_2021,GP_2021,W_2021,SO_2021,SV_2021,SV%_2021,Team_1920,GP_1920,W_1920,SO_1920,SV_1920,SV%_1920,Pos_2122,G_2122,A_2122,PTS_2122,GWG_2122,TOI_2122,SOG_2122,Hits_2122,Blocks_2122,PPG_2122,PPP_2122,Pos_2021,G_2021,A_2021,PTS_2021,GWG_2021,TOI_2021,SOG_2021,Hits_2021,Blocks_2021,PPG_2021,PPP_2021,Pos_1920,G_1920,A_1920,PTS_1920,GWG_1920,TOI_1920,SOG_1920,Hits_1920,Blocks_1920,PPG_1920,PPP_1920,ADP,Pos
FELIX SANDSTROM,25,PHI,5,0,0,161,0.91,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
MICHAEL DIPIETRO,23,VAN,1,0,0,14,0.824,1,,,,,,,VAN,1,0,0,6,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
ADAM HUSKA,25,,1,0,0,32,0.821,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G
CONNOR MCDAVID,25,EDM,80,,,,,4,EDM,56,,,,,EDM,64,,,,,C,44,79,123,9,22:04,314,75,26,10,44,C,33,72,105,11,22:09,200,61,24,9,37,C,34,63,97,7,21:52,212,37,18,11,43,1,F
JOHNNY GAUDREAU,28,CBJ,82,,,,,6,CBJ,56,,,,,CBJ,70,,,,,L,40,75,115,9,18:35,262,10,9,6,25,L,19,29,48,5,18:25,112,8,9,7,19,L,18,40,58,2,18:47,209,1,11,6,18,50,F
JONATHAN HUBERDEAU,29,FLA,80,,,,,1,FLA,55,,,,,FLA,69,,,,,L,30,85,115,7,19:26,222,99,28,5,38,L,20,41,61,1,18:25,122,51,11,5,24,L,23,55,78,3,18:46,152,51,26,5,29,15,F
LEON DRAISAITL,26,EDM,80,,,,,3,EDM,56,,,,,EDM,71,,,,,L,55,55,110,11,22:21,278,53,25,24,41,L,31,53,84,8,22:11,168,37,12,15,32,L,43,67,110,11,22:37,218,27,19,16,44,2,F
KIRILL KAPRIZOV,25,MIN,81,,,,,4,MIN,55,,,,,,,,,,,L,47,61,108,5,19:06,289,73,29,14,31,L,27,24,51,3,18:18,157,29,18,8,13,,,,,,,,,,,,28,F
STEVEN STAMKOS,32,T.B,81,,,,,2,T.B,38,,,,,T.B,57,,,,,C,42,64,106,11,18:29,241,93,31,16,36,C,17,17,34,1,18:16,91,38,10,10,15,C,29,37,66,7,18:25,176,69,38,10,19,31,F
AUSTON MATTHEWS,24,TOR,73,,,,,2,TOR,52,,,,,TOR,70,,,,,C,60,46,106,10,20:37,348,67,62,16,29,C,41,25,66,12,21:33,222,57,47,10,13,C,47,33,80,5,20:58,290,40,60,12,25,8,F
MATTHEW TKACHUK,24,CGY,82,,,,,0,CGY,56,,,,,CGY,69,,,,,R,42,62,104,6,17:54,253,93,20,12,29,R,16,27,43,0,18:09,151,132,9,4,15,R,23,38,61,6,18:18,188,122,22,5,19,36,F
J.T. MILLER,29,VAN,80,,,,,1,VAN,53,,,,,VAN,69,,,,,C,32,67,99,6,21:04,206,172,56,8,38,C,15,31,46,4,20:58,106,90,24,3,18,C,27,45,72,4,20:06,165,123,38,9,25,51,F
MITCHELL MARNER,25,TOR,72,,,,,3,TOR,55,,,,,TOR,59,,,,,R,35,62,97,5,20:53,224,75,31,6,25,R,20,47,67,5,22:26,156,23,41,0,14,R,16,51,67,2,21:33,154,24,37,6,24,14,F
